0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
5061,4586,3676,2903,2088,1199,431,56,0,0
0.05,0.10,0.15,0.20,0.25
2328,2460,2947,3567,8698
